Feature,Coefficient,Odds Ratio
prevalentStroke,0.834892762314437,2.3045668986149375
age,0.5720337691132291,1.7718669577952333
male,0.45238183636294976,1.5720521006468942
BPMeds,0.334118147611841,1.3967081515592092
sysBP,0.3238277238454099,1.382409130474922
cigsPerDay,0.31541004576540593,1.3708212951967171
prevalentHyp,0.17500946028209463,1.191257486190918
glucose,0.1651545673855664,1.1795754285115163
diabetes,0.12658422866193103,1.1349450420525264
totChol,0.09866332164360779,1.1036946468990123
education,0.0024967412483318813,1.0024998607023787
BMI,-0.0034622143102660333,0.9965437722427963
diaBP,-0.012426574573723476,0.9876503164770898
heartRate,-0.01459360703744622,0.9855123635218653
currentSmoker,-0.06053449571377045,0.9412612989780175
